sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
?? wo ayé tuntun yìí!,Look at this new world!,Exclamative,VERB NOUN ADJ DET,S ? VP,(IP (IP (VP (V ??) (V wo) (NP (N ayé) (ADJ tuntun) (DET yìí))))) ,,,,—
Kí lo j?? ,What did you eat ? ,Interrogative ,Q PRON VERB,S— Q NP VP,(IP (CP (C Kí) (IP (VP (V lo) (NP (PRO ?)))))) ,,,,Ques
Mo f?? ká l? sí ibùdó náà.,I want us to go to the camp.,Complex,PRON VERB COMP PRON VERB PREP NOUN DET,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C ká) (IP (VP (V l?) (PP (P sí) (NP (N ibùdó) (DET náà))))))))) ,,,,Embed
?é w?n ti dé?,Have they arrived?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w?n)) (VP (ASP ti) (V dé)))))) ,,,,Ques
"O k?? mi ní orin tuntun, mo sì k?? ìtàn kan.","You taught me a new song, and I wrote a story.",Compound,PRON VERB PRON PREP NOUN ADJ PRON CONJ VERB NOUN DET,S ? S CONJ S,"(IP (IP (VP (V O) (V k??) (NP (PRO mi)) , (CONJ mo) (V sì) (V k??) (NP (N ìtàn) (DET kan))))) ",,,,—
"Má ?e b??rù, Oluwa wà p??lú r?.","Do not fear, the Lord is with you.",Compound,NEG AUX VERB NOUN NOUN VERB PREP PRON,"S ? S , S","(IP (IP (VP (NEG Má) (V ?e) (V b??rù) , (NP-SBJ (N Oluwa)) (VP (V wà) (PP (P p??lú) (PRO r?)))))) ",,,,Comp
?e i??? r? kí o lè ?a?ey?rí.,Do your work so you can succeed.,Complex,VERB NOUN PRON CONJ PRON AUX VERB,S ? VP CP,(IP (IP (VP (V ?e) (NP (N i???) (PRO r?)) (CP (C kí) (IP (VP (V lè) (V ?a?ey?rí))))))) ,,,,Embed
? j?? kí a sùn.,Let us sleep.,Imperative,VERB COMP PRON VERB,S ? VP,(IP (IP (VP (V ?) (V j??) (VP (V kí) (NP (PRO a) (V sùn)))))) ,,,,—
Ta ló máa l? síb???,Who will go there?,Interrogative,WH PRON AUX VERB ADV,S ? WH VP,(IP (CP (C Ta) (IP (NP-SBJ (PRO ló)) (VP (FUT máa) (V l?) (PP (P síb??)))))) ,,,,—
??r?? náà ?e mí lójú pé mo ???gun.,The matter convinced me that I won.,Complex,NOUN DET VERB PRON PREP NOUN COMP PRON VERB,S ? NP VP CP,(IP (IP (NP-SBJ (N ??r??) (DET náà)) (VP (V ?e) (NP (PRO mí)) (PP (P lójú) (CP (C pé) (IP (VP (V mo) (V ???gun)))))))) ,,,,Embed
?í ilékun náà l??s??k?s??.,Open the door immediately.,Imperative,VERB NOUN DET ADV,S ? VP,(IP (IP (VP (V ?í) (NP (N ilékun) (DET náà)) (ADVP l??s??k?s??)))) ,,,,—
"Mo j?un nílé, mo sì mu omi.","I ate at home, and I drank water.",Compound,PRON VERB PREP NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (VP (V Mo) (V j?un) (PP (P nílé))) , (CONJ mo) (V sì) (V mu) (NP (N omi)))))",,,,—
"Bí a ?e ní ìf??, ayé wa máa dáa.","If we have love, our life will be good.",Complex,CONJ PRON AUX VERB NOUN NOUN PRON AUX ADJ,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V ?e) (PP (P ní) (NP (N ìf??))))) , (IP (NP-SBJ (PRO ayé wa)) (VP (FUT máa) (V dáa))))))",,,,"Embed, Comp"
?? wo ìm?? tuntun tí w??n fi hàn.,See the new knowledge they showed.,Simple,VERB NOUN ADJ COMP PRON VERB VERB,S ? VP,(IP (IP (VP (V ??) (V wo) (NP (N ìm??) (ADJ tuntun) (CP (C tí) (IP (NP-SBJ (PRO w??n)) (VP (V fi) (V hàn))))))))),,,,—
?é ìw? ní ìwé náà?,Do you have the book?,Interrogative,Q PRON VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V ní) (NP (N ìwé) (DET náà)))))) ,,,,Ques
Kó àw?n ?m? wá sílé.,Bring the children home.,Imperative,VERB ADJ NOUN VERB PREP NOUN,S ? VP,(IP (IP (VP (V Kó) (NP (N àw?n ?m?)) (VP (V wá) (PP (P sílé)))))) ,,,,—
Mo gb?? ìròyìn pé a ???gun.,I heard the news that we won.,Complex,PRON VERB NOUN COMP PRON VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V gb??) (CP (C pé) (IP (NP-SBJ (PRO a)) (VP (V ???gun))))))) ,,,,Embed
Má ?e fi àkókò r?? s?nù.,Do not waste your time.,Imperative,NEG AUX VERB NOUN PRON VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V fi) (NP (N àkókò) (PRO r?)) (V s?nù)))) ,,,,—
?é a le ?àb??wò sí w?n?,Can we visit them?,Interrogative,Q PRON AUX VERB PREP PRON,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO a)) (VP (V le) (VP (V ?àb??wò) (PP (P sí) (NP (PRO w?n)))))))) ,,,,Ques
Ó s? pé òun ò ní ?e b???? m??.,He said he would not do so again.,Complex,PRON VERB COMP PRON NEG AUX VERB ADV ADV,S ? NP VP CP,(IP (IP (VP (V Ó) (V s?) (CP (C pé) (IP (NP-SBJ (PRO òun)) (VP (NEG ò) (V ní) (VP (V ?e) (ADV b????) (ADV m??))))))))) ,,,,Embed
K?? orin yìí fún mi.,Sing this song for me.,Imperative,VERB NOUN DET PREP PRON,S ? VP,(IP (IP (VP (V K??) (NP (N orin) (DET yìí)) (PP (P fún) (NP (PRO mi)))))) ,,,,—
?? wo bí w??n ?e ? ?i??? p??.,See how they are working together.,Exclamative,VERB CONJ PRON AUX AUX VERB ADV,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (PRO w??n)) (VP (V ?e) (ASP ?) (V ?i???) (ADVP p??)))))))) ,,,,—
Mo f?? l? bá bàbá mi.,I want to go see my father.,Simple,PRON VERB VERB PREP NOUN PRON,S ? NP VP,(IP (IP (VP (V Mo) (V f??) (VP (V l?) (PP (P bá) (NP (N bàbá) (PRO mi)))))))) ,,,,—
?é w??n ti ?ètò ìpàdé náà?,Have they arranged the meeting?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V ?ètò) (NP (N ìpàdé) (DET náà)))))) ,,,,Ques
"Tí mo bá ní owó, màá ra ?k? tuntun.","If I have money, I will buy a new car.",Complex,CONJ PRON AUX VERB NOUN PRON AUX VERB NOUN ADJ,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO mo)) (VP (V bá) (V ní) (NP (N owó))))) , (IP (VP (ASP màá) (V ra) (NP (N ?k?) (ADJ tuntun)))))) ",,,,"Embed, Comp"
?í a?? náà fún mi.,Open the cloth for me.,Imperative,VERB NOUN DET PREP PRON,S ? VP,(IP (IP (VP (V ?í) (NP (N a??) (DET náà)) (PP (P fún) (NP (PRO mi)))))) ,,,,—
?m? náà kó gbogbo ohun r?? j?.,The child gathered all his things.,Simple,NOUN DET VERB ADJ NOUN PRON VERB,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (V kó) (NP (N gbogbo ohun) (PRO r?)) (V j?)))) ,,,,—
"Bí ó ?e ? r??, àw?n ènìyàn ?i l? sí ?jà.","Although it was raining, people still went to the market.",Complex,CONJ PRON AUX VERB NOUN ADJ VERB PREP NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO ó)) (VP (V ?e) (ASP ?) (V r??)))) , (IP (NP-SBJ (N àw?n ènìyàn)) (VP (V ?i) (V l?) (PP (P sí) (NP (N ?jà))))))) ",,,,"Embed, Comp"
? j?? kí a b??r?? i??? tuntun.,Let us start a new work.,Imperative,VERB COMP PRON VERB NOUN ADJ,S ? VP,(IP (IP (VP (V ?) (V j??) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V b??r??) (NP (N i???) (ADJ tuntun)))))))) ,,,,—
?é ìw? wà nílé?,Are you at home?,Interrogative,Q PRON VERB PREP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V wà) (PP (P ní) (NP (N ilé))))))) ,,,,Ques
Mo j?? olùk?? tuntun ní ilé ??k??.,I am a new teacher in a school.,Simple,PRON COP NOUN ADJ PREP NOUN,S ? NP VP,(IP (IP (NP-SBJ (N Mo)) (VP (V j??) (NP (N olùk??) (ADJ tuntun)) (PP (P ní) (NP (N ilé ??k??)))))) ,,,,—
"Tí w??n bá ?i??? p??, a ó rí à?fààní.","If they work together, we will benefit.",Complex,CONJ PRON AUX VERB ADV PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO w??n)) (VP (V bá) (V ?i???) (ADVP p??)))) , (IP (NP-SBJ (PRO a)) (VP (FUT ó) (V rí) (NP (N à?fààní)))))) ",,,,"Embed, Comp"
Má ?e gbàgbé ohun tí mo s?.,Do not forget what I said.,Imperative,NEG AUX VERB NOUN COMP PRON VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V gbàgbé) (NP (PRO ohun) (CP (C tí) (IP (NP-SBJ (PRO mo)) (VP (V s?))))))))) ,,,,—
?é a ní àtìl??yìn?,Do we have support?,Interrogative,Q PRON VERB NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO a)) (VP (V ní) (NP (N àtìl??yìn)))))) ,,,,Ques
Ó j?? pé ìrìn àjò náà péye.,It appears the journey was complete.,Complex,PRON COP COMP NOUN NOUN DET ADJ,S ? NP VP CP,(IP (IP (VP (V Ó) (V j??) (CP (C pé) (IP (NP-SBJ (N ìrìn àjò) (DET náà)) (VP (V péye))))))) ,,,,Embed
F?w?? kan ògiri náà.,Touch the wall.,Imperative,VERB VERB NOUN DET,S ? VP,(IP (IP (VP (V F?w??) (V kan) (NP (N ògiri) (DET náà)))) ) ,,,,—
Mo f?? ká ?e ìpinnu.,I want us to make a decision.,Complex,PRON VERB COMP PRON VERB NOUN,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (VP (V ká) (NP (N ?e) (NP (N ìpinnu))))))) ,,,,Embed
?é w??n ? b?? sí ay?y? náà?,Are they coming to the ceremony?,Interrogative,Q PRON AUX VERB PREP NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V ?) (V b??) (PP (P sí) (NP (N ay?y?) (DET náà))))))) ,,,,Ques
?m? náà j?un kí ó tó l? sùn.,The child ate before going to sleep.,Complex,NOUN DET VERB CONJ PRON PREP VERB VERB,S ? NP VP CP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (V j?un) (CP (C kí) (IP (VP (V ó) (V tó) (V l?) (V sùn))))))) ,,,,Embed
?í il??kùn náà dáadáa.,Open the door well.,Imperative,VERB NOUN DET ADV,S ? VP,(IP (IP (VP (V ?í) (NP (N il??kùn) (DET náà)) (ADVP dáadáa)))) ,,,,—
Ó s? pé ó ní láti l? sí ìpàdé náà.,He said he had to go to the meeting.,Complex,PRON VERB COMP PRON AUX PREP VERB PREP NOUN DET,S ? NP VP CP,(IP (IP (VP (V Ó) (V s?) (CP (C pé) (IP (NP-SBJ (PRO ó)) (VP (V ní) (VP (V láti) (V l?) (PP (P sí) (NP (N ìpàdé) (DET náà)))))))))) ,,,,Embed
Má ?e dá mi l??j??.,Do not accuse me.,Imperative,NEG AUX VERB PRON PREP NOUN,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V dá) (NP (PRO mi)) (N l??j??)))) ,,,,—
?é ??yin ò m???,Don’t you know?,Interrogative,Q PRON NEG VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ??yin)) (NEG ò) (VP (V m??)))))) ,,,,Ques
Mo ní àw?n ??r?? tó dáa.,I have good friends.,Simple,PRON VERB NOUN ADJ ADJ,S ? NP VP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V ní) (NP (N àw?n ??r??) (ADJ tó dáa)))))) ,,,,—
Mo lo ile ,I went home,Simple ,PRON VERB NOUN,S— NP VP NP,(IP (IP (VP (V Mo) (V lo) (NP (N ile))))) ,,,,—
Mo ní inú-dídùn pé o dé.,I am happy that you came.,Complex,PRON VERB NOUN COMP PRON VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V ní) (NP (ADJ inú-dídùn) (CP (C pé) (IP (NP-SBJ (PRO o)) (VP (V dé)))))))) ,,,,Embed
?é w??n ? ?i??? ní ilé ìwòsàn?,Are they working in the hospital?,Interrogative,Q PRON AUX VERB PREP NOUN NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V ?) (V ?i???) (PP (P ní) (NP (N ilé ìwòsàn))))))) ,,,,Ques
F?w?? s??w?? p??lú àw?n míì.,Shake hands with others.,Imperative,VERB VERB PREP NOUN ADJ,S ? VP,(IP (IP (VP (V F?w??) (V s??w??) (PP (P p??lú) (NP (N àw?n míì)))))) ,,,,—
"Bí a ?e k??k???? dáadáa, a máa ?a?ey?rí.","If we study well, we will succeed.",Complex,CONJ PRON AUX VERB ADV PRON AUX VERB,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V ?e) (V k??k????) (ADVP dáadáa)))) , (IP (NP-SBJ (PRO a)) (VP (FUT máa) (V ?a?ey?rí))))) ",,,,"Embed, Comp"
Má ?e fi ìgbà r?? ?òfò.,Do not waste your time.,Imperative,NEG AUX VERB NOUN PRON VERB,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V fi) (NP (N ìgbà) (PRO r?)) (V ?òfò)))) ,,,,—
?é ìw? f?? ká l? síbi y?n?,Do you want us to go there?,Interrogative,Q PRON VERB COMP PRON VERB ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V f??) (VP (V ká) (VP (V l?) (PP (P sí) (NP (DEM y?n)))))))))) ,,,,Ques
Mo rí i pé òun wà nílé.,I saw that he was at home.,Complex,PRON VERB PRON COMP PRON VERB PREP NOUN,S ? NP VP CP,(IP (IP (VP (V Mo) (V rí) (CP (C pé) (IP (NP-SBJ (PRO òun)) (VP (V wà) (PP (P ní) (NP (N ilé)))))))))) ,,,,Embed
?í ojú r? kí o rí ohun.,Open your eyes so you can see.,Complex,VERB NOUN PRON CONJ PRON VERB NOUN,S ? VP CP,(IP (IP (VP (V ?í) (NP (N ojú) (PRO r?)) (CP (C kí) (IP (VP (V o) (V rí) (NP (N ohun)))))))) ,,,,Embed
A ní ìbá?ep?? p??lú oríl??-èdè mìíràn.,We have a relationship with another country.,Simple,PRON VERB NOUN PREP NOUN,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO A)) (VP (V ní) (NP (N ìbá?ep??) (PP (P p??lú) (NP (N oríl??-èdè) (ADJ mìíràn)))))))) ,,,,—
?e i??? náà p??lú ìfarasin.,Do the work with diligence.,Imperative,VERB NOUN DET PREP NOUN,S ? VP,(IP (IP (VP (V ?e) (NP (N i???) (DET náà)) (PP (P p??lú) (NP (N ìfarasin)))))) ,,,,—
"Tí w??n bá ní ìbá?ep??, gbogbo ohun máa dáa.","If they have unity, everything will be fine.",Complex,CONJ PRON AUX VERB NOUN ADJ NOUN AUX ADJ,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO w??n)) (VP (V bá) (V ní) (NP (N ìbá?ep??))))) , (IP (NP-SBJ (PRO gbogbo ohun)) (VP (FUT máa) (V dáa)))) ",,,,"Embed, Comp"
Mo f?? j?un ?áájú i???.,I want to eat before work.,Simple,PRON VERB VERB ADV NOUN,S ? NP VP,(IP (IP (VP (V Mo) (V f??) (VP (V j?un) (ADVP ?áájú) (NP (N i???)))))) ,,,,—
?é w??n f?? ra ?k? tuntun?,Do they want to buy a new car?,Interrogative,Q PRON VERB VERB NOUN ADJ,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V f??) (V ra) (NP (N ?k?) (ADJ tuntun)))))) ,,,,Ques
F? a?? náà dáadáa.,Wash the cloth well.,Imperative,VERB NOUN DET ADV,S ? VP,(IP (IP (VP (V F?) (NP (N a??) (DET náà)) (ADVP dáadáa)))) ,,,,—
Mo gb?? pé òun ti l? síbi i??? tuntun.,I heard that he has gone to a new job.,Complex,PRON VERB COMP PRON AUX VERB PREP NOUN ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (V gb??) (CP (C pé) (IP (NP-SBJ (PRO òun)) (VP (ASP ti) (V l?) (PP (P sí) (NP (N i???) (ADJ tuntun)))))))))) ,,,,Embed
?e àkíyèsí ohun tí mo s?.,Note what I said.,Imperative,VERB NOUN NOUN COMP PRON VERB,S ? VP,(IP (IP (VP (V ?e) (NP (N àkíyèsí) (CP (C ohun) (IP (NP-SBJ (PRO tí) (VP (V mo) (V s?))))))))) ,,,,—
?é ??yin ò rí ohun tó ??l???,Didn’t you see what happened?,Interrogative,Q PRON NEG VERB NOUN COMP VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ??yin)) (NEG ò) (VP (V rí) (NP (N ohun) (CP (C tó) (IP (VP (V ??l??)))))))))) ,,,,Ques
Mo ní láti rántí àw?n àdúrà mi.,I have to remember my prayers.,Simple,PRON AUX PREP VERB NOUN NOUN PRON,S ? NP VP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V ní) (VP (V láti) (V rántí) (NP (N àw?n àdúrà) (PRO mi)))))) ,,,,—
Má ?e y?kúrò nínú ìpàdé náà.,Do not leave the meeting.,Imperative,NEG AUX VERB PREP NOUN DET,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V y?kúrò) (PP (P nínú) (NP (N ìpàdé) (DET náà)))))) ,,,,—
"Bí a ?e ní ìt??l??run, ayé wa máa dáa.","If we are content, our life will be good.",Complex,CONJ PRON AUX VERB NOUN NOUN PRON AUX ADJ,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V ?e) (PP (P ní) (NP (N ìt??l??run)))))) , (IP (NP-SBJ (PRO ayé wa)) (VP (FUT máa) (V dáa)))) ",,,,"Embed, Comp"
?é o m?? ohun tí ó ??l???,Do you know what happened?,Interrogative,Q PRON VERB NOUN COMP PRON VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V m??) (NP (N ohun) (CP (C tí) (IP (VP (V ó) (V ??l??)))))))))) ,,,,Ques
Mo k?? pé ìfé? j?? pàtàkì.,I learned that love is important.,Complex,PRON VERB COMP NOUN COP ADJ,S ? NP VP CP,(IP (IP (VP (V Mo) (V k??) (CP (C pé) (IP (NP-SBJ (N ìfé?)) (VP (V j??) (ADJ pàtàkì))))))) ,,,,Embed
Béèrè ìròyìn l??w?? arákùnrin náà.,Ask the news from that man.,Imperative,VERB NOUN PREP NOUN DET,S ? VP,(IP (IP (VP (V Béèrè) (NP (N ìròyìn)) (PP (P l??w??) (NP (N arákùnrin) (DET náà)))))) ,,,,—
?é w??n ?ètò ay?y? náà?,Did they organize the ceremony?,Interrogative,Q PRON VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V ?ètò) (NP (N ay?y?) (DET náà)))))) ,,,,Ques
A f?? ká b??r?? i??? àtún?e.,We want us to start a reform work.,Complex,PRON VERB COMP PRON VERB NOUN NOUN,S ? NP VP CP,(IP (IP (VP (V A) (VP (V f??) (VP (V ká) (NP (N b??r??) (NP (N i???) (ADJ àtún?e)))))))) ,,,,Embed
Rí i dáadáa kí o m??.,Look at it well so you know.,Complex,VERB PRON ADV CONJ PRON VERB,S ? VP CP,(IP (IP (VP (V Rí) (NP (PRO i)) (ADVP dáadáa) (CP (C kí) (IP (VP (V o) (V m??))))))) ,,,,Embed
Mo f?? rìn kiri ní agbègbè wa.,I want to walk around in our area.,Simple,PRON VERB VERB ADV PREP NOUN PRON,S ? NP VP,(IP (IP (VP (V Mo) (V f??) (VP (V rìn) (NP (N kiri)) (PP (P ní) (NP (N agbègbè) (PRO wa))))))) ,,,,—
?é w??n ti ?e àfihàn náà?,Have they made the presentation?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V ?e) (NP (N àfihàn) (DET náà)))))) ,,,,Ques
K?? ìwé ìròyìn fún mi.,Write a newsletter for me.,Imperative,VERB NOUN NOUN PREP PRON,S ? VP,(IP (IP (VP (V K??) (NP (N ìwé ìròyìn)) (PP (P fún) (NP (PRO mi)))))) ,,,,—
Mo ní inú-dídùn p??lú r?.,I am happy with you.,Simple,PRON VERB NOUN PREP PRON,S ? NP VP,(IP (IP (VP (V Mo) (V ní) (ADJ inú-dídùn) (PP (P p??lú) (NP (PRO r?)))))) ,,,,—
?é o f?? bá mi l??,Do you want to go with me?,Interrogative,Q PRON VERB PREP PRON VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (VP (V bá) (NP (PRO mi)) (V l?)))))) ,,,,Ques
Fi ?w?? ?e é dáadáa.,Do it well with your hands.,Imperative,VERB NOUN VERB PRON ADV,S ? VP,(IP (IP (VP (V Fi) (NP (N ?w??)) (VP (V ?e) (PRO é) (ADVP dáadáa)))))) ,,,,—
Mo gbà pé ayé j?? ??bùn.,I believe that life is a gift.,Complex,PRON VERB COMP NOUN COP NOUN,S ? NP VP CP,(IP (IP (VP (V Mo) (V gbà) (CP (C pé) (IP (NP-SBJ (NP (DET ayé)) (VP (V j??) (NP (N ??bùn))))))))) ,,,,Embed
?é w??n ? ?i??? p???,Are they working together?,Interrogative,Q PRON AUX VERB ADV,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V ?) (V ?i???) (ASP p??)))))) ,,,,Ques
?e ìrànw?? fún àw?n tí ó nílò r?.,Help those who need you.,Imperative,VERB NOUN PREP NOUN COMP PRON VERB PRON,S ? VP,(IP (IP (VP (V ?e) (NP (N ìrànw??)) (PP (P fún) (NP (NP (PRO àw?n) (REL tí) (VP (V ó) (V nílò) (NP (PRO r?)))))))))) ,,,,—
"Bí a ?e ní ìbá?ep??, àlàáfíà máa wà.","If we have a relationship, peace will remain.",Complex,CONJ PRON AUX VERB NOUN NOUN AUX VERB,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V ?e) (PP (P ní) (NP (N ìbá?ep??)))))) , (IP (NP-SBJ (PRO àlàáfíà)) (VP (FUT máa) (V wà)))) ",,,,"Embed, Comp"
?é ìw? lè l? sí ay?y? náà?,Can you go to the ceremony?,Interrogative,Q PRON AUX VERB PREP NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V lè) (VP (V l?) (PP (P sí) (NP (N ay?y?) (DET náà)))))))) ,,,,Ques
Mo f?? kí ìyá mi wá.,I want my mother to come.,Complex,PRON VERB COMP NOUN PRON VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (VP (V kí) (NP (N ìyá) (PRO mi)) (V wá)))))) ,,,,Embed
?í il??kùn kí af??f?? w?lé.,Open the door so air can enter.,Complex,VERB NOUN CONJ NOUN VERB,S ? VP CP,(IP (IP (VP (V ?í) (NP (N il??kùn)) (CP (C kí) (IP (VP (V af??f??) (V w?lé))))))) ,,,,Embed
?é w??n ti l? sí ìj? náà?,Have they gone to the church?,Interrogative,Q PRON AUX VERB PREP NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (ASP ti) (VP (V l?) (PP (P sí) (NP (N ìj?) (DET náà)))))))) ,,,,Ques
Mo ní àw?n ??r?? p??lú mi.,I have friends with me.,Simple,PRON VERB NOUN PREP PRON,S ? NP VP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V ní) (NP (N àw?n ??r??) (PP (P p??lú) (PRO mi)))))) ,,,,—
K?? orin tuntun kí a k?? r??.,Sing a new song so we can learn it.,Complex,VERB NOUN ADJ CONJ PRON VERB PRON,S ? VP CP,(IP (IP (VP (V K??) (NP (N orin) (ADJ tuntun)) (CP (C kí) (IP (VP (V a) (V k??) (PRO r??))))))) ,,,,Embed
L? si wájú,Move forward,Imperative,VERB PREP NOUN,S— VP PP NP,(IP (VP (V L?) (PP (P sí) (NP (N wájú)))) ) ,,,,—
Mo f?? ka ìwé tuntun.,I want to read a new book.,Simple,PRON VERB VERB NOUN ADJ,S ? NP VP,(IP (IP (VP (V Mo) (V f??) (VP (V ka) (NP (N ìwé) (ADJ tuntun)))))) ,,,,—
?é w??n ti rí àbájáde náà?,Have they seen the result?,Interrogative,Q PRON AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (ASP ti) (VP (V rí) (NP (N àbájáde) (DET náà)))))) ,,,,Ques
K?? ìtàn náà fún wa.,Write the story for us.,Imperative,VERB NOUN DET PREP PRON,S ? VP,(IP (IP (VP (V K??) (NP (N ìtàn) (DET náà)) (PP (P fún) (NP (PRO wa)))))) ,,,,—
Mo gb?? pé w??n ti dé.,I heard that they have arrived.,Complex,PRON VERB COMP PRON AUX VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V gb??) (CP (C pé) (IP (NP-SBJ (PRO w??n)) (ASP ti) (VP (V dé))))))) ,,,,Embed
"Bí o bá ?ètò dáadáa, gbogbo ohun máa l? r?rùn.","If you organize well, everything will go smoothly.",Complex,CONJ PRON AUX VERB ADV NOUN NOUN AUX VERB ADV,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (V ?ètò) (ADVP dáadáa)))) , (IP (NP-SBJ (PRO gbogbo ohun)) (VP (FUT máa) (V l?) (ADJP r?rùn)))) ",,,,"Embed, Comp"
Má ?e dá a lóró.,Do not trouble him.,Imperative,NEG AUX VERB PRON PREP NOUN,S ? VP,(IP (IP (VP (NEG Má) (V ?e) (V dá) (NP (PRO a) (N lóró)))))) ,,,,—
?é ìw? m?? ibi tí w??n l??,Do you know where they went?,Interrogative,Q PRON VERB NOUN COMP PRON VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ìw?)) (VP (V m??) (PP (P ibi) (PP (P tí) (VP (V w??n) (V l?))))))))) ,,,,Ques
Mo f?? kí o gba mí níyànjú.,I want you to encourage me.,Complex,PRON VERB COMP PRON VERB PRON PREP VERB,S ? NP VP CP,(IP (IP (VP (V Mo) (V f??) (VP (V kí) (NP (PRO o)) (VP (V gba) (NP (PRO mi)) (V níyànjú)))))) ,,,,Embed
?í àpò náà kí o rí inú r??.,Open the bag so you see its inside.,Complex,VERB NOUN DET CONJ PRON VERB NOUN PRON,S ? VP CP,(IP (IP (VP (V ?í) (NP (N àpò) (DET náà)) (CP (C kí) (IP (VP (V o) (V rí) (NP (PRO inú) (PRO r?))))))))) ,,,,Embed
A ní àánú fún àw?n aláìní.,We have compassion for the needy.,Simple,PRON VERB NOUN PREP NOUN ADJ,S ? NP VP,(IP (IP (VP (NP-SBJ (PRO A)) (VP (V ní) (NP (N àánú)) (PP (P fún) (NP (N àw?n aláìní))))))) ,,,,—
